--------- beginning of main
09-22 14:29:35.319 26942 26978 E OpenGLRenderer: EglManager::fenceWait: error dup'ing fence fd: 24
09-22 14:29:35.321 26942 26942 E Surface : dequeueBuffer: error duping fence: 24
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #71 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #72 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #73 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #74 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #75 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #76 pc 0018eb4c  /system/framework/framework.jar (android.view.Choreographer$FrameDisplayEventReceiver.run)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #77 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #78 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #79 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #80 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #81 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #82 pc 001e0ef0  /system/framework/framework.jar (android.os.Handler.handleCallback)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #83 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #84 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #85 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #86 pc 00230cec  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14672) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #87 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #88 pc 001e0d38  /system/framework/framework.jar (android.os.Handler.dispatchMessage)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #89 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #90 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #91 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #92 pc 00230a58  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14012) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #93 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #94 pc 00206064  /system/framework/framework.jar (android.os.Looper.loopOnce)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #95 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #96 pc 003da78c  /apex/com.android.art/lib64/libart.so (art::interpreter::ArtInterpreterToInterpreterBridge+104) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #97 pc 003db30c  /apex/com.android.art/lib64/libart.so (bool art::interpreter::DoCall<false>+1760) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #98 pc 00230cec  /apex/com.android.art/lib64/libart.so (void art::interpreter::ExecuteSwitchImplCpp<false>+14672) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #99 pc 00229bd8  /apex/com.android.art/lib64/libart.so (ExecuteSwitchImplAsm+8) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #100 pc 002067d8  /system/framework/framework.jar (android.os.Looper.loop)
09-22 14:29:40.985 26942 26949 I .games.boxbound:   native: #101 pc 003d3dec  /apex/com.android.art/lib64/libart.so (art::interpreter::Execute +452) (BuildId: 2a2e2726f12ce70bfbb5ea2dca129917)
